asset_preview,asset_name,relative_path,classification,label,q_code,mass,thumbnail_path
https://huggingface.co/datasets/nvidia/physicalai-simready-warehouse-01/resolve/main/.thumbs/256x256/physical_ai_simready_warehouse_01.usd.png,physical_ai_simready_warehouse_01,physical_ai_simready_warehouse_01.usd,Assembly,,,,.thumbs/256x256/physical_ai_simready_warehouse_01.usd.png
https://huggingface.co/datasets/nvidia/physicalai-simready-warehouse-01/resolve/main/Props/general/Cardbox_A1/.thumbs/256x256/Cardbox_A1_physics.usd.png,Cardbox_A1_physics,Props/general/Cardbox_A1/Cardbox_A1_physics.usd,Prop general,Cardboard Box,Q1395006,1.0,Props/general/Cardbox_A1/.thumbs/256x256/Cardbox_A1_physics.usd.png
https://huggingface.co/datasets/nvidia/physicalai-simready-warehouse-01/resolve/main/Props/general/Cardbox_A2/.thumbs/256x256/Cardbox_A2_physics.usd.png,Cardbox_A2_physics,Props/general/Cardbox_A2/Cardbox_A2_physics.usd,Prop general,Cardboard Box,Q1395006,1.0,Props/general/Cardbox_A2/.thumbs/256x256/Cardbox_A2_physics.usd.png
https://huggingface.co/datasets/nvidia/physicalai-simready-warehouse-01/resolve/main/Props/general/Cardbox_A3/.thumbs/256x256/Cardbox_A3_physics.usd.png,Cardbox_A3_physics,Props/general/Cardbox_A3/Cardbox_A3_physics.usd,Prop general,Cardboard Box,Q1395006,1.0,Props/general/Cardbox_A3/.thumbs/256x256/Cardbox_A3_physics.usd.png
https://huggingface.co/datasets/nvidia/physicalai-simready-warehouse-01/resolve/main/Props/general/Cardbox_B1/.thumbs/256x256/Cardbox_B1_physics.usd.png,Cardbox_B1_physics,Props/general/Cardbox_B1/Cardbox_B1_physics.usd,Prop general,Cardboard Box,Q1395006,1.0,Props/general/Cardbox_B1/.thumbs/256x256/Cardbox_B1_physics.usd.png
https://huggingface.co/datasets/nvidia/physicalai-simready-warehouse-01/resolve/main/Props/general/Cardbox_B2/.thumbs/256x256/Cardbox_B2_physics.usd.png,Cardbox_B2_physics,Props/general/Cardbox_B2/Cardbox_B2_physics.usd,Prop general,Cardboard Box,Q1395006,1.0,Props/general/Cardbox_B2/.thumbs/256x256/Cardbox_B2_physics.usd.png
https://huggingface.co/datasets/nvidia/physicalai-simready-warehouse-01/resolve/main/Props/general/Cardbox_B3/.thumbs/256x256/Cardbox_B3_physics.usd.png,Cardbox_B3_physics,Props/general/Cardbox_B3/Cardbox_B3_physics.usd,Prop general,Cardboard Box,Q1395006,3.5,Props/general/Cardbox_B3/.thumbs/256x256/Cardbox_B3_physics.usd.png
https://huggingface.co/datasets/nvidia/physicalai-simready-warehouse-01/resolve/main/Props/general/Cardbox_C1/.thumbs/256x256/Cardbox_C1_physics.usd.png,Cardbox_C1_physics,Props/general/Cardbox_C1/Cardbox_C1_physics.usd,Prop general,Cardboard Box,Q1395006,0.5,Props/general/Cardbox_C1/.thumbs/256x256/Cardbox_C1_physics.usd.png
https://huggingface.co/datasets/nvidia/physicalai-simready-warehouse-01/resolve/main/Props/general/Cardbox_C2/.thumbs/256x256/Cardbox_C2_physics.usd.png,Cardbox_C2_physics,Props/general/Cardbox_C2/Cardbox_C2_physics.usd,Prop general,Cardboard Box,Q1395006,1.0,Props/general/Cardbox_C2/.thumbs/256x256/Cardbox_C2_physics.usd.png
https://huggingface.co/datasets/nvidia/physicalai-simready-warehouse-01/resolve/main/Props/general/Cardbox_C3/.thumbs/256x256/Cardbox_C3_physics.usd.png,Cardbox_C3_physics,Props/general/Cardbox_C3/Cardbox_C3_physics.usd,Prop general,Cardboard Box,Q1395006,1.5,Props/general/Cardbox_C3/.thumbs/256x256/Cardbox_C3_physics.usd.png
https://huggingface.co/datasets/nvidia/physicalai-simready-warehouse-01/resolve/main/Props/general/Cardbox_D1/.thumbs/256x256/Cardbox_D1_physics.usd.png,Cardbox_D1_physics,Props/general/Cardbox_D1/Cardbox_D1_physics.usd,Prop general,Cardboard Box,Q1395006,0.5,Props/general/Cardbox_D1/.thumbs/256x256/Cardbox_D1_physics.usd.png
https://huggingface.co/datasets/nvidia/physicalai-simready-warehouse-01/resolve/main/Props/general/Cardbox_D2/.thumbs/256x256/Cardbox_D2_physics.usd.png,Cardbox_D2_physics,Props/general/Cardbox_D2/Cardbox_D2_physics.usd,Prop general,Cardboard Box,Q1395006,0.5,Props/general/Cardbox_D2/.thumbs/256x256/Cardbox_D2_physics.usd.png
